TradeDate,MMType,Ccy,Start,End,Notional,Index,Rate,Cpty,Company,Desk,Book
20141130,DEPOSIT,EUR,20141130,37M,6705382.89,FIXED,0.0150,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,37M,12240429.67,FIXED,0.0172,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,37M,84496400.81,FIXED,0.0182,INTEINT,INGLU,LUDESK,LUMMCB
20141130,LOAN,EUR,20141130,38M,574171.02,FIXED,0.2497,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,38M,20688061.53,FIXED,0.0172,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,38M,47741260.32,FIXED,0.0069,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,39M,5413421.76,FIXED,0.0122,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,40M,4275571.09,FIXED,0.0167,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,40M,5967996.81,FIXED,0.0167,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,41M,11142457.63,FIXED,0.0114,INTEINT,INGLU,LUDESK,LUMMRE
20141130,LOAN,EUR,20141130,41M,7875904.17,FIXED,0.0114,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,42M,5463606.49,FIXED,0.0103,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,42M,2991195.34,FIXED,0.0189,INTEINT,INGLU,LUDESK,LUMMRE
20141130,LOAN,EUR,20141130,42M,1647133.96,FIXED,0.0114,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,43M,2379407.78,FIXED,0.0195,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,43M,23870630.16,FIXED,0.0076,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,44M,13738280.61,FIXED,0.0108,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,44M,65100688.55,FIXED,0.0190,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,45M,3608530.03,FIXED,0.0205,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,46M,14645302.38,FIXED,0.0106,INTEINT,INGLU,LUDESK,LUMMRE
